cycle_id,mode,actuator,total_latency_ns,processing_time_ns,lock_wait_ns,deadline_met,lateness_ns
57,baseline,Motor,230900,200,1400,true,0
58,baseline,,580324200,324200,300,false,124200
58,baseline,Gripper,241300,300,1300,true,0
58,baseline,Stabilizer,256400,100,1100,true,0
58,baseline,Motor,375600,300,6100,true,0
59,baseline,,590438300,438300,0,false,238300
59,baseline,Stabilizer,190200,18500,1000,true,0
59,baseline,Gripper,318500,27600,900,true,0
59,baseline,Motor,396700,18500,1100,true,0
60,baseline,,600285100,285100,100,false,85100
60,baseline,Gripper,215700,500,3800,true,0
60,baseline,Motor,234000,100,1000,true,0
60,baseline,Stabilizer,245600,200,700,true,0
61,baseline,,610261700,261700,100,false,61700
61,baseline,Stabilizer,231700,300,2400,true,0
61,baseline,Gripper,285900,300,2900,true,0
61,baseline,Motor,367800,300,2300,true,0
62,baseline,,620227900,227900,100,false,27900
62,baseline,Gripper,130500,300,1400,true,0
62,baseline,Stabilizer,133800,300,1800,true,0
62,baseline,Motor,306800,200,1500,true,0
63,baseline,,630228400,228400,200,false,28400
63,baseline,Motor,200800,400,1600,true,0
63,baseline,Stabilizer,205400,500,4900,true,0
63,baseline,Gripper,292100,200,1900,true,0
64,baseline,,640236700,236700,100,false,36700
64,baseline,Stabilizer,199600,200,2300,true,0
64,baseline,Gripper,255200,200,3400,true,0
64,baseline,Motor,319000,200,2100,true,0
65,baseline,,650347200,347200,100,false,147200
65,baseline,Gripper,71000,300,3200,true,0
65,baseline,Motor,75400,100,900,true,0
65,baseline,Stabilizer,82500,100,700,true,0
66,baseline,,660809700,809700,0,false,609700
66,baseline,Stabilizer,171300,100,1200,true,0
66,baseline,Gripper,281000,100,1300,true,0
66,baseline,Motor,361900,300,2500,true,0
67,baseline,,670343600,343600,0,false,143600
67,baseline,Motor,225200,400,2600,true,0
67,baseline,Gripper,231700,400,3900,true,0
67,baseline,Stabilizer,237900,100,800,true,0
68,baseline,,680845900,845900,300,false,645900
68,baseline,Gripper,126500,400,3300,true,0
68,baseline,Motor,138600,0,600,true,0
68,baseline,Stabilizer,147000,100,600,true,0
69,baseline,,690825500,825500,100,false,625500
69,baseline,Gripper,135000,200,1700,true,0
69,baseline,Stabilizer,139800,200,2300,true,0
69,baseline,Motor,251700,100,1500,true,0
70,baseline,,700319700,319700,100,false,119700
70,baseline,Stabilizer,166700,200,1900,true,0
70,baseline,Gripper,258700,400,2400,true,0
70,baseline,Motor,262400,300,3700,true,0
71,baseline,,710349800,349800,200,false,149800
71,baseline,Motor,198900,400,5000,true,0
71,baseline,Stabilizer,216700,100,700,true,0
71,baseline,Gripper,293200,400,3600,true,0
72,baseline,,720549700,549700,0,false,349700
72,baseline,Motor,139400,100,1400,true,0
72,baseline,Stabilizer,148300,200,500,true,0
72,baseline,Gripper,200800,100,1600,true,0
73,baseline,,730400300,400300,0,false,200300
73,baseline,Gripper,164800,200,2100,true,0
73,baseline,Motor,172100,0,300,true,0
73,baseline,Stabilizer,185900,100,300,true,0
74,baseline,,740698500,698500,100,false,498500
74,baseline,Stabilizer,188400,200,1200,true,0
74,baseline,Gripper,281800,200,1700,true,0
74,baseline,Motor,386800,100,1600,true,0
75,baseline,,750149400,149400,100,true,0
75,baseline,Gripper,244500,200,2700,true,0
75,baseline,Stabilizer,360900,400,3400,true,0
75,baseline,Motor,371100,500,6900,true,0
76,baseline,,760351000,351000,100,false,151000
76,baseline,Stabilizer,140200,300,1000,true,0
76,baseline,Gripper,232400,200,2100,true,0
76,baseline,Motor,321000,700,6200,true,0
77,baseline,Gripper,56900,300,3700,true,0
77,baseline,Motor,61500,300,2800,true,0
77,baseline,,770309200,309200,100,false,109200
77,baseline,Stabilizer,80600,200,6100,true,0
78,baseline,Gripper,78400,400,3500,true,0
78,baseline,Motor,88900,100,500,true,0
78,baseline,,780575100,575100,100,false,375100
78,baseline,Stabilizer,154200,200,25400,true,0
79,baseline,,790774900,774900,100,false,574900
79,baseline,Gripper,485100,37800,1600,true,0
79,baseline,Stabilizer,566700,66500,1900,true,0
79,baseline,Motor,603100,113100,1000,true,0
80,baseline,,800863300,863300,100,false,663300
80,baseline,Stabilizer,363100,3400,4300,true,0
80,baseline,Gripper,477100,200,3000,true,0
80,baseline,Motor,510100,400,3800,true,0
81,baseline,,810875900,875900,100,false,675900
81,baseline,Gripper,118200,200,1500,true,0
81,baseline,Motor,281000,100,1400,true,0
81,baseline,Stabilizer,328900,200,2600,true,0
82,baseline,,820425700,425700,100,false,225700
82,baseline,Gripper,121200,200,1600,true,0
82,baseline,Motor,215600,200,1600,true,0
82,baseline,Stabilizer,301800,300,2500,true,0
83,baseline,Gripper,189300,300,4000,true,0
83,baseline,Motor,202400,100,600,true,0
83,baseline,,830561200,561200,100,false,361200
83,baseline,Stabilizer,342400,300,3200,true,0
84,baseline,,840353800,353800,0,false,153800
84,baseline,Stabilizer,188300,200,1500,true,0
84,baseline,Gripper,303300,100,1500,true,0
84,baseline,Motor,371700,1100,17800,true,0
85,baseline,,850403700,403700,100,false,203700
85,baseline,Gripper,365500,200,1200,true,0
85,baseline,Motor,396200,300,3000,true,0
85,baseline,Stabilizer,438100,300,44900,true,0
86,baseline,,860176200,176200,100,true,0
86,baseline,Gripper,309700,200,1500,true,0
86,baseline,Stabilizer,406000,100,1400,true,0
86,baseline,Motor,412000,200,2000,true,0
87,baseline,,870440400,440400,100,false,240400
87,baseline,Motor,358000,200,2100,true,0
87,baseline,Gripper,361100,200,3500,true,0
87,baseline,Stabilizer,379500,200,2200,true,0
88,baseline,,880409200,409200,300,false,209200
88,baseline,Gripper,122000,200,2700,true,0
88,baseline,Motor,156800,100,23700,true,0
88,baseline,Stabilizer,168600,300,2800,true,0
89,baseline,,890451500,451500,200,false,251500
89,baseline,Gripper,131100,500,1200,true,0
89,baseline,Stabilizer,182000,0,1000,true,0
89,baseline,Motor,182600,400,3900,true,0
90,baseline,,900236000,236000,100,false,36000
90,baseline,Stabilizer,182700,300,2800,true,0
90,baseline,Gripper,329300,300,5000,true,0
90,baseline,Motor,394500,300,11300,true,0
91,baseline,,910367100,367100,0,false,167100
91,baseline,Motor,334200,800,6100,true,0
91,baseline,Gripper,343200,600,4700,true,0
91,baseline,Stabilizer,464000,100,1600,true,0
92,baseline,Motor,40900,200,3500,true,0
92,baseline,Stabilizer,60300,200,15800,true,0
92,baseline,,920940500,940500,0,false,740500
92,baseline,Gripper,222200,100,1500,true,0
93,baseline,Gripper,52200,400,3400,true,0
93,baseline,Motor,64500,0,1300,true,0
93,baseline,Stabilizer,73400,200,700,true,0
93,baseline,,930688000,688000,100,false,488000
94,baseline,,940564800,564800,100,false,364800
94,baseline,Motor,151800,300,2200,true,0
94,baseline,Gripper,161700,400,3100,true,0
94,baseline,Stabilizer,166000,100,600,true,0
95,baseline,Gripper,78900,300,29200,true,0
95,baseline,Motor,106100,100,3000,true,0
95,baseline,Stabilizer,117300,100,600,true,0
95,baseline,,950229800,229800,200,false,67700
96,baseline,,960659200,659200,0,false,459200
96,baseline,Gripper,134100,100,20800,true,0
96,baseline,Stabilizer,164200,200,37000,true,0
96,baseline,Motor,332600,200,5900,true,0
97,baseline,,970359300,359300,100,false,159300
97,baseline,Motor,193100,200,2000,true,0
97,baseline,Stabilizer,206400,100,500,true,0
97,baseline,Gripper,277600,100,5000,true,0
98,baseline,,980315100,315100,100,false,115100
98,baseline,Gripper,366200,600,2500,true,0
98,baseline,Motor,379000,100,1000,true,0
98,baseline,Stabilizer,387400,100,600,true,0
99,baseline,,990661800,661800,100,false,461800
99,baseline,Gripper,144300,26000,500,true,0
99,baseline,Motor,162600,4200,300,true,0
99,baseline,Stabilizer,179500,3600,800,true,0
100,baseline,,1000678100,678100,0,false,478100
100,baseline,Gripper,142000,200,800,true,0
100,baseline,Motor,154300,500,3200,true,0
100,baseline,Stabilizer,157600,100,700,true,0
101,baseline,,1010559600,559600,100,false,359600
101,baseline,Stabilizer,133600,100,1400,true,0
101,baseline,Gripper,195700,200,1800,true,0
101,baseline,Motor,266800,200,1800,true,0
102,baseline,,1020124100,124100,100,true,0
102,baseline,Gripper,263900,200,1700,true,0
102,baseline,Motor,396400,100,1700,true,0
102,baseline,Stabilizer,406400,300,3100,true,0
103,baseline,,1030536900,536900,100,false,336900
103,baseline,Gripper,105600,600,4500,true,0
103,baseline,Motor,122600,100,1200,true,0
103,baseline,Stabilizer,134900,300,800,true,0
104,baseline,,1040826800,826800,100,false,626800
104,baseline,Gripper,384700,300,2400,true,0
104,baseline,Motor,386900,400,3200,true,0
104,baseline,Stabilizer,418700,300,2400,true,0
105,baseline,,1050561600,561600,100,false,361600
105,baseline,Gripper,160900,300,1600,true,0
105,baseline,Motor,334900,300,7000,true,0
105,baseline,Stabilizer,383200,400,4600,true,0
106,baseline,,1060450100,450100,100,false,250100
106,baseline,Gripper,285900,200,1500,true,0
106,baseline,Stabilizer,347600,200,2000,true,0
106,baseline,Motor,350100,300,2600,true,0
107,baseline,Gripper,78700,300,4600,true,0
107,baseline,Motor,87200,300,3000,true,0
107,baseline,Stabilizer,92200,100,800,true,0
107,baseline,,1070519800,519800,300,false,319800
108,baseline,,1080336100,336100,100,false,136100
108,baseline,Gripper,80100,700,4200,true,0
108,baseline,Motor,93600,400,3700,true,0
108,baseline,Stabilizer,99900,200,1000,true,0
109,baseline,,1090667000,667000,300,false,467000
109,baseline,Gripper,364800,400,3200,true,0
109,baseline,Motor,431200,100,1900,true,0
109,baseline,Stabilizer,439300,300,3400,true,0
110,baseline,,1100329300,329300,200,false,129300
110,baseline,Gripper,255400,600,2600,true,0
110,baseline,Stabilizer,283700,400,4300,true,0
110,baseline,Motor,346300,200,3600,true,0
111,baseline,,1110692700,692700,100,false,492700
111,baseline,Gripper,304000,200,1800,true,0
111,baseline,Stabilizer,351600,200,2200,true,0
111,baseline,Motor,354900,200,2500,true,0
112,baseline,,1120502100,502100,200,false,302100
112,baseline,Gripper,360900,200,5300,true,0
112,baseline,Motor,399100,300,2800,true,0
112,baseline,Stabilizer,399200,300,2800,true,0
113,baseline,,1130659800,659800,0,false,459800
113,baseline,Motor,52700,200,1600,true,0
113,baseline,Stabilizer,59400,200,8500,true,0
113,baseline,Gripper,171700,2200,14600,true,0
114,baseline,,1140340800,340800,200,false,140800
114,baseline,Stabilizer,145300,300,2000,true,0
114,baseline,Gripper,154200,300,6600,true,0
114,baseline,Motor,249500,300,2200,true,0
115,baseline,,1150483400,483400,0,false,283400
115,baseline,Motor,180500,300,2200,true,0
115,baseline,Stabilizer,193200,100,800,true,0
115,baseline,Gripper,260200,200,1700,true,0
116,baseline,,1160343100,343100,100,false,143100
116,baseline,Gripper,126200,100,1000,true,0
116,baseline,Stabilizer,130900,300,2600,true,0
116,baseline,Motor,281100,200,1600,true,0
117,baseline,,1170866400,866400,100,false,666400
117,baseline,Gripper,154800,200,2300,true,0
117,baseline,Motor,163200,100,1000,true,0
117,baseline,Stabilizer,177800,100,2100,true,0
118,baseline,,1180076400,76400,100,true,0
